true_class,scratch_accuracy,scratch_images,pretrained_accuracy,pretrained_images,scratch_percent,pretrained_percent,improvement_points,species
02036_Animalia_Arthropoda_Insecta_Lepidoptera_Papilionidae_Papilio_xuthus,0.4,10,0.6,10,40.0,60.0,20.0,Papilio xuthus
02063_Animalia_Arthropoda_Insecta_Lepidoptera_Pieridae_Colias_croceus,0.7,10,1.0,10,70.0,100.0,30.0,Colias croceus
02096_Animalia_Arthropoda_Insecta_Lepidoptera_Pieridae_Pieris_oleracea,0.3,10,0.8,10,30.0,80.0,50.0,Pieris oleracea
02109_Animalia_Arthropoda_Insecta_Lepidoptera_Psychidae_Thyridopteryx_ephemeraeformis,0.1,10,0.8,10,10.0,80.0,70.0,Thyridopteryx ephemeraeformis
02117_Animalia_Arthropoda_Insecta_Lepidoptera_Pyralidae_Arta_statalis,0.4,10,0.9,10,40.0,90.0,50.0,Arta statalis
02194_Animalia_Arthropoda_Insecta_Lepidoptera_Sphingidae_Hemaris_diffinis,0.2,10,0.8,10,20.0,80.0,60.0,Hemaris diffinis
02206_Animalia_Arthropoda_Insecta_Lepidoptera_Sphingidae_Manduca_rustica,0.6,10,0.8,10,60.0,80.0,20.0,Manduca rustica
02207_Animalia_Arthropoda_Insecta_Lepidoptera_Sphingidae_Manduca_sexta,0.2,10,0.6,10,20.0,60.0,40.0,Manduca sexta
02221_Animalia_Arthropoda_Insecta_Lepidoptera_Sphingidae_Sphinx_ligustri,0.4,10,0.8,10,40.0,80.0,40.0,Sphinx ligustri
02236_Animalia_Arthropoda_Insecta_Lepidoptera_Tortricidae_Cenopis_pettitana,0.6,10,0.8,10,60.0,80.0,20.0,Cenopis pettitana
02240_Animalia_Arthropoda_Insecta_Lepidoptera_Tortricidae_Clepsis_melaleucana,0.6,10,1.0,10,60.0,100.0,40.0,Clepsis melaleucana
02244_Animalia_Arthropoda_Insecta_Lepidoptera_Tortricidae_Coelostathma_discopunctana,0.5,10,0.9,10,50.0,90.0,40.0,Coelostathma discopunctana
02273_Animalia_Arthropoda_Insecta_Lepidoptera_Zygaenidae_Harrisina_americana,0.5,10,0.6,10,50.0,60.0,10.0,Harrisina americana
02312_Animalia_Arthropoda_Insecta_Odonata_Aeshnidae_Aeshna_mixta,0.6,10,0.7,10,60.0,70.0,10.0,Aeshna mixta
02330_Animalia_Arthropoda_Insecta_Odonata_Calopterygidae_Calopteryx_aequabilis,0.3,10,0.7,10,30.0,70.0,40.0,Calopteryx aequabilis
02337_Animalia_Arthropoda_Insecta_Odonata_Calopterygidae_Matrona_cyanoptera,0.7,10,1.0,10,70.0,100.0,30.0,Matrona cyanoptera
02372_Animalia_Arthropoda_Insecta_Odonata_Coenagrionidae_Enallagma_durum,0.3,10,0.7,10,30.0,70.0,40.0,Enallagma durum
02406_Animalia_Arthropoda_Insecta_Odonata_Cordulegastridae_Cordulegaster_maculata,0.8,10,0.9,10,80.0,90.0,10.0,Cordulegaster maculata
02421_Animalia_Arthropoda_Insecta_Odonata_Gomphidae_Aphylla_angustifolia,0.6,10,0.8,10,60.0,80.0,20.0,Aphylla angustifolia
02453_Animalia_Arthropoda_Insecta_Odonata_Lestidae_Lestes_congener,0.3,10,0.7,10,30.0,70.0,40.0,Lestes congener
02462_Animalia_Arthropoda_Insecta_Odonata_Lestidae_Lestes_vigilax,0.3,10,0.4,10,30.0,40.0,10.0,Lestes vigilax
02473_Animalia_Arthropoda_Insecta_Odonata_Libellulidae_Brechmorhoga_mendax,0.6,10,0.7,10,60.0,70.0,10.0,Brechmorhoga mendax
02482_Animalia_Arthropoda_Insecta_Odonata_Libellulidae_Diplacodes_trivialis,0.4,10,0.5,10,40.0,50.0,10.0,Diplacodes trivialis
02500_Animalia_Arthropoda_Insecta_Odonata_Libellulidae_Leucorrhinia_hudsonica,0.2,10,0.4,10,20.0,40.0,20.0,Leucorrhinia hudsonica
02518_Animalia_Arthropoda_Insecta_Odonata_Libellulidae_Libellula_semifasciata,0.5,10,0.8,10,50.0,80.0,30.0,Libellula semifasciata
02527_Animalia_Arthropoda_Insecta_Odonata_Libellulidae_Neurothemis_taiwanensis,0.8,10,0.9,10,80.0,90.0,10.0,Neurothemis taiwanensis
02528_Animalia_Arthropoda_Insecta_Odonata_Libellulidae_Neurothemis_tullia,0.5,10,0.7,10,50.0,70.0,20.0,Neurothemis tullia
02542_Animalia_Arthropoda_Insecta_Odonata_Libellulidae_Orthetrum_sabina,0.2,10,0.6,10,20.0,60.0,40.0,Orthetrum sabina
02594_Animalia_Arthropoda_Insecta_Odonata_Platycnemididae_Platycnemis_pennipes,0.4,10,0.3,10,40.0,30.0,-10.0,Platycnemis pennipes
02685_Animalia_Arthropoda_Insecta_Orthoptera_Tettigoniidae_Scudderia_furcata,0.1,10,0.5,10,10.0,50.0,40.0,Scudderia furcata
02695_Animalia_Arthropoda_Insecta_Phasmida_Phasmatidae_Clitarchus_hookeri,0.1,10,0.6,10,10.0,60.0,50.0,Clitarchus hookeri
02745_Animalia_Arthropoda_Malacostraca_Isopoda_Armadillidiidae_Armadillidium_nasatum,0.2,10,0.5,10,20.0,50.0,30.0,Armadillidium nasatum
02765_Animalia_Chordata_Actinopterygii_Cypriniformes_Cyprinidae_Cyprinus_rubrofuscus,0.5,10,1.0,10,50.0,100.0,50.0,Cyprinus rubrofuscus
02789_Animalia_Chordata_Actinopterygii_Mugiliformes_Mugilidae_Mugil_cephalus,0.2,10,0.4,10,20.0,40.0,20.0,Mugil cephalus
02794_Animalia_Chordata_Actinopterygii_Perciformes_Acanthuridae_Naso_lituratus,0.6,10,0.8,10,60.0,80.0,20.0,Naso lituratus
02798_Animalia_Chordata_Actinopterygii_Perciformes_Carangidae_Trachurus_novaezelandiae,0.6,10,0.8,10,60.0,80.0,20.0,Trachurus novaezelandiae
02799_Animalia_Chordata_Actinopterygii_Perciformes_Centrarchidae_Ambloplites_rupestris,0.3,10,0.8,10,30.0,80.0,50.0,Ambloplites rupestris
02811_Animalia_Chordata_Actinopterygii_Perciformes_Chaetodontidae_Chaetodon_auriga,0.6,10,0.9,10,60.0,90.0,30.0,Chaetodon auriga
02843_Animalia_Chordata_Actinopterygii_Perciformes_Labridae_Thalassoma_bifasciatum,0.3,10,0.6,10,30.0,60.0,30.0,Thalassoma bifasciatum
02844_Animalia_Chordata_Actinopterygii_Perciformes_Labridae_Thalassoma_hardwicke,0.4,10,0.8,10,40.0,80.0,40.0,Thalassoma hardwicke
02852_Animalia_Chordata_Actinopterygii_Perciformes_Moronidae_Morone_americana,0.5,10,1.0,10,50.0,100.0,50.0,Morone americana
02859_Animalia_Chordata_Actinopterygii_Perciformes_Percidae_Perca_fluviatilis,0.4,10,0.4,10,40.0,40.0,0.0,Perca fluviatilis
02944_Animalia_Chordata_Amphibia_Anura_Bufonidae_Anaxyrus_cognatus,0.0,10,0.7,10,0.0,70.0,70.0,Anaxyrus cognatus
02947_Animalia_Chordata_Amphibia_Anura_Bufonidae_Anaxyrus_quercicus,0.3,10,0.6,10,30.0,60.0,30.0,Anaxyrus quercicus
02973_Animalia_Chordata_Amphibia_Anura_Craugastoridae_Pristimantis_achatinus,0.1,10,0.5,10,10.0,50.0,40.0,Pristimantis achatinus
02974_Animalia_Chordata_Amphibia_Anura_Dendrobatidae_Dendrobates_auratus,0.8,10,0.9,10,80.0,90.0,10.0,Dendrobates auratus
03005_Animalia_Chordata_Amphibia_Anura_Hylidae_Trachycephalus_typhonius,0.0,10,0.7,10,0.0,70.0,70.0,Trachycephalus typhonius
03085_Animalia_Chordata_Amphibia_Caudata_Plethodontidae_Eurycea_lucifuga,0.2,10,0.8,10,20.0,80.0,60.0,Eurycea lucifuga
03090_Animalia_Chordata_Amphibia_Caudata_Plethodontidae_Plethodon_cinereus,0.2,10,0.3,10,20.0,30.0,10.0,Plethodon cinereus
03092_Animalia_Chordata_Amphibia_Caudata_Plethodontidae_Plethodon_dorsalis,0.1,10,0.5,10,10.0,50.0,40.0,Plethodon dorsalis
03103_Animalia_Chordata_Amphibia_Caudata_Salamandridae_Salamandrina_perspicillata,0.4,10,0.6,10,40.0,60.0,20.0,Salamandrina perspicillata
03122_Animalia_Chordata_Aves_Accipitriformes_Accipitridae_Aquila_rapax,0.2,10,0.4,10,20.0,40.0,20.0,Aquila rapax
03132_Animalia_Chordata_Aves_Accipitriformes_Accipitridae_Buteo_regalis,0.4,10,0.7,10,40.0,70.0,30.0,Buteo regalis
03160_Animalia_Chordata_Aves_Accipitriformes_Accipitridae_Haliaeetus_albicilla,0.4,10,0.4,10,40.0,40.0,0.0,Haliaeetus albicilla
03193_Animalia_Chordata_Aves_Anseriformes_Anatidae_Anas_castanea,0.2,10,0.6,10,20.0,60.0,40.0,Anas castanea
03202_Animalia_Chordata_Aves_Anseriformes_Anatidae_Anas_poecilorhyncha,0.0,10,0.4,10,0.0,40.0,40.0,Anas poecilorhyncha
03222_Animalia_Chordata_Aves_Anseriformes_Anatidae_Aythya_novaeseelandiae,0.2,10,0.8,10,20.0,80.0,60.0,Aythya novaeseelandiae
03255_Animalia_Chordata_Aves_Anseriformes_Anatidae_Mareca_strepera,0.5,10,0.5,10,50.0,50.0,0.0,Mareca strepera
03270_Animalia_Chordata_Aves_Anseriformes_Anatidae_Spatula_discors,0.1,10,0.2,10,10.0,20.0,10.0,Spatula discors
03290_Animalia_Chordata_Aves_Caprimulgiformes_Caprimulgidae_Caprimulgus_europaeus,0.2,10,0.5,10,20.0,50.0,30.0,Caprimulgus europaeus
03295_Animalia_Chordata_Aves_Caprimulgiformes_Nyctibiidae_Nyctibius_griseus,0.5,10,0.8,10,50.0,80.0,30.0,Nyctibius griseus
03303_Animalia_Chordata_Aves_Caprimulgiformes_Trochilidae_Amazilia_yucatanensis,0.3,10,0.5,10,30.0,50.0,20.0,Amazilia yucatanensis
03308_Animalia_Chordata_Aves_Caprimulgiformes_Trochilidae_Boissonneaua_flavescens,0.5,10,0.6,10,50.0,60.0,10.0,Boissonneaua flavescens
03315_Animalia_Chordata_Aves_Caprimulgiformes_Trochilidae_Colibri_coruscans,0.4,10,0.6,10,40.0,60.0,20.0,Colibri coruscans
03335_Animalia_Chordata_Aves_Cathartiformes_Cathartidae_Sarcoramphus_papa,0.2,10,0.6,10,20.0,60.0,40.0,Sarcoramphus papa
03339_Animalia_Chordata_Aves_Charadriiformes_Alcidae_Cepphus_columba,0.2,10,0.6,10,20.0,60.0,40.0,Cepphus columba
